採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/10/17 下午 01:25:00,1221,3.3,26.5,24.5,7.1,204,6.5,6.6,80.1,<1.0,<4.0,114,56000,0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/9/9 上午 11:46:00,1221,4.0,30.5,29.3,7.1,258,4.0,3.9,51.5,4.1,20.7,15.1,14000,2.66,--,0.723,4.36,0.20,0.090,<0.001,0.004,<0.002,0.0059,<0.0003,0.002,0.047,0.308,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/8/5 下午 02:10:00,1221,3.8,30.1,31.0,7.5,265,5.3,5.1,69.9,4.8,12.8,26.0,80000,2.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/7/8 下午 02:30:00,1221,4.8,31.6,31.7,7.4,250,6.4,6.6,90.6,3.2,14.0,20.6,300000,3.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/6/4 上午 08:15:00,1221,5.0,25.2,25.4,7.3,339,2.6,2.8,34.1,4.6,12.3,13.1,5500,5.25,--,1.01,4.06,0.50,0.014,<0.001,0.004,0.004,0.0130,<0.0003,0.002,0.006,0.198,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/5/5 上午 07:55:00,1221,4.5,27.4,21.8,7.2,304,2.2,2.1,24.0,2.6,12.3,13.3,61000,3.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/4/7 下午 01:55:00,1221,5.0,20.3,20.3,7.4,318,3.7,3.7,40.3,4.0,12.3,19.5,7400,3.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/3/3 上午 09:27:00,1221,4.0,18.7,19.1,7.2,288,2.6,2.8,29.7,2.2,13.3,26.6,24000,1.53,--,0.638,3.27,0.37,0.117,<0.001,<0.003,<0.002,0.0056,<0.0003,0.002,0.016,0.107,0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/2/6 上午 07:25:00,1221,4.0,18.6,19.7,7.2,282,2.7,3.0,32.1,2.4,19.7,29.9,39000,2.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/1/8 上午 10:40:00,1221,3.8,16.8,20.3,7.3,318,4.7,5.0,54.5,4.5,13.1,38.1,260000,2.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),－,2009/12/2 上午 11:40:00,1222,3.5,22.3,19.9,7.2,10700,3.3,3.4,38.1,1.4,6.8,16.1,5200,1.81,3210,0.187,1.43,0.76,0.117,<0.001,<0.003,<0.002,0.0050,<0.0003,<0.001,0.012,0.100,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),－,2009/11/3 下午 12:15:00,1222,3.3,19.4,20.1,7.3,4610,3.5,3.8,42.1,1.0,10.9,30.2,19000,0.83,1310,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),－,2009/10/17 上午 11:27:00,1222,3.3,26.8,24.5,7.1,231,5.1,5.3,63.6,1.1,10.9,56.1,29000,0.52,20.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
